school,address,profileId,reason,sourceUrl,verificationSource
四川质量工程职业技术学院,校本部：四川省峨眉山市光辉路919号,3912,仅定位至城市，县区待核,,
广东制造职业技术学院,新港校区：广州市海珠新港西路160号,3899,仅定位至城市，县区待核,,
塔里木理工学院,新疆维吾尔自治区阿拉尔市三五九大街北4040号,3814,第三方档案县区代码（非官网核验）,,
西安戏剧学院,陕西省西安市西咸新区秦汉新城兰池大道369号,3813,仅定位至城市，县区待核,,
大湾区大学,广东省东莞市松山湖高新技术产业开发区大学路16号,3810,仅定位至城市，县区待核,,
南通卫生健康职业学院,江苏省南通经济技术开发区振兴东路288号,3767,仅定位至城市，县区待核,,
驻马店农业工程职业学院,河南省驻马店市盘龙山路2668号（盘龙山与重阳大道交叉口）,3723,仅定位至城市，县区待核,,
河南新乡工商职业学院,河南省新乡市平原示范区科教城嵩山大道369号,3722,仅定位至城市，县区待核,,
双河职业技术学院,新疆维吾尔自治区双河市光明路137号,3708,第三方档案县区代码（非官网核验）,,
康复大学,山东省青岛高新区登云路369号,3703,仅定位至城市，县区待核,,
海南东方新丝路职业学院,海南省东方市金月湾滨海旅游度假区,3698,第三方档案县区代码（非官网核验）,,
香港城市大学（东莞）,广东省东莞市松山湖高新技术产业开发区高雄路8号,3687,仅定位至城市，县区待核,,
郑州软件职业技术学院,郑州航空港经济综合实验区南海大道36号,3670,仅定位至城市，县区待核,,
开封职业学院,产融校区：开封市产城融合示范区和谐路1号（郑民高速杏花营站出口向南7公里,3668,仅定位至城市，县区待核,,
开封职业学院,开港大道与和谐路交叉口向东200米路南）,3668,仅定位至城市，县区待核,,
衡水健康科技职业学院,河北省衡水市滨湖新区红旗大街2197号,3657,仅定位至城市，县区待核,,
图木舒克职业技术学院,图木舒克市唐王城北路1号,3654,第三方档案县区代码（非官网核验）,,
海南比勒费尔德应用科学大学,海南省儋州市洋浦经济开发区,3645,仅定位至城市，县区待核,,
郑州食品工程职业学院,太湖路校区：郑州航空港区华夏大道与太湖路交叉口,3643,仅定位至城市，县区待核,,
山东城市服务职业学院,山东省烟台市高新区科创西路60号,3641,仅定位至城市，县区待核,,
可克达拉职业技术学院,新疆生产建设兵团第四师可克达拉市汉江东路1357号,3640,第三方档案县区代码（非官网核验）,,
新星职业技术学院,新疆生产建设兵团第十三师新星市先锋大道南侧,3638,地区无法映射当前边界快照,,
昆玉职业技术学院,新疆维吾尔自治区昆玉市长安街269号,3636,第三方档案县区代码（非官网核验）,,
