scope_level,province,city,district,candidate_count,competition_pool_count,winner_uid,winner,winner_level,winner_private,winner_tags,decision_basis,decision_detail,evidence_strength,status,ranking_system,comparison_group,ranking_id,ranking_edition,ranking_list,ranking_category,ranking_scale_field,ranking_display,ranking_reference,ranking_source_url,location_basis,location_evidence,runner_up_uid,runner_up,runner_up_level,runner_up_system,runner_up_same_scale,unresolved_reason,comparable_candidates,needs_ranking_backfill,notes
country,,,,2934,2934,4111010003,清华大学,本科,no,985|211|双一流,comparable_ranking,清华大学 在同榜可比名次上优于 北京大学（软科 bcur）；候选池先按国家标签收敛：985,strong,resolved_strong,shanghairanking-bcur,shanghairanking-bcur,shanghairanking-bcur,2026,中国大学排名（主榜）,,rankOverall,2026软科 1,1,https://www.shanghairanking.cn/rankings/bcur/2026,entity_home,entity,4111010001,北京大学,本科,shanghairanking-bcur,yes,,清华大学|北京大学,no,
province,安徽省,,,126,126,4134010358,中国科学技术大学,本科,no,985|211|双一流,prestige_tag,985 标签优先于211（国家官方重点建设名单）,strong,resolved_strong,shanghairanking-bcur,shanghairanking-bcur,shanghairanking-bcur,2026,中国大学排名（主榜）,,rankOverall,2026软科 7,7,https://www.shanghairanking.cn/rankings/bcur/2026,entity_home,entity,4134010359,合肥工业大学,本科,shanghairanking-bcur,yes,,中国科学技术大学|合肥工业大学,no,
province,澳门特别行政区,,,0,0,,澳门大学,,,,reference_fallback,无学校主体候选，仅沿用省级参考标签,,reference_only,,,,,,,,,,,,,,,,,no,,,no,
province,北京市,,,92,92,4111010003,清华大学,本科,no,985|211|双一流,comparable_ranking,清华大学 在同榜可比名次上优于 北京大学（软科 bcur）；候选池先按国家标签收敛：985,strong,resolved_strong,shanghairanking-bcur,shanghairanking-bcur,shanghairanking-bcur,2026,中国大学排名（主榜）,,rankOverall,2026软科 1,1,https://www.shanghairanking.cn/rankings/bcur/2026,entity_home,entity,4111010001,北京大学,本科,shanghairanking-bcur,yes,,清华大学|北京大学,no,
province,重庆市,,,77,77,4150010611,重庆大学,本科,no,985|211|双一流,prestige_tag,985 标签优先于211（国家官方重点建设名单）,strong,resolved_strong,shanghairanking-bcur,shanghairanking-bcur,shanghairanking-bcur,2026,中国大学排名（主榜）,,rankOverall,2026软科 34,34,https://www.shanghairanking.cn/rankings/bcur/2026,entity_home,entity,4150010635,西南大学,本科,shanghairanking-bcur,yes,,重庆大学|西南大学,no,
province,福建省,,,90,90,4135010384,厦门大学,本科,no,985|211|双一流,prestige_tag,985 标签优先于211（国家官方重点建设名单）,strong,resolved_strong,shanghairanking-bcur,shanghairanking-bcur,shanghairanking-bcur,2026,中国大学排名（主榜）,,rankOverall,2026软科 25,25,https://www.shanghairanking.cn/rankings/bcur/2026,entity_home,entity,4135010386,福州大学,本科,shanghairanking-bcur,yes,,厦门大学|福州大学,no,
province,甘肃省,,,49,49,4162010730,兰州大学,本科,no,985|211|双一流,prestige_tag,985 标签优先于无重点标签（国家官方重点建设名单）,strong,resolved_strong,shanghairanking-bcur,shanghairanking-bcur,shanghairanking-bcur,2026,中国大学排名（主榜）,,rankOverall,2026软科 40,40,https://www.shanghairanking.cn/rankings/bcur/2026,entity_home,entity,4162010736,西北师范大学,本科,shanghairanking-bcur,yes,,兰州大学|西北师范大学,no,
province,广东省,,,165,165,4144010558,中山大学,本科,no,985|211|双一流,comparable_ranking,中山大学 在同榜可比名次上优于 南方科技大学（软科 bcur）；候选池先按国家标签收敛：985,strong,resolved_strong,shanghairanking-bcur,shanghairanking-bcur,shanghairanking-bcur,2026,中国大学排名（主榜）,,rankOverall,2026软科 13,13,https://www.shanghairanking.cn/rankings/bcur/2026,entity_home,entity,4144014325,南方科技大学,本科,shanghairanking-bcur,yes,,中山大学|南方科技大学,no,
province,广西壮族自治区,,,93,93,4145010593,广西大学,本科,no,211|双一流,prestige_tag,211 标签优先于无重点标签（国家官方重点建设名单）,strong,resolved_strong,shanghairanking-bcur,shanghairanking-bcur,shanghairanking-bcur,2026,中国大学排名（主榜）,,rankOverall,2026软科 86,86,https://www.shanghairanking.cn/rankings/bcur/2026,entity_home,entity,4145010602,广西师范大学,本科,shanghairanking-bcur,yes,,广西大学|广西师范大学,no,
province,贵州省,,,80,80,4152010657,贵州大学,本科,no,211|双一流,prestige_tag,211 标签优先于无重点标签（国家官方重点建设名单）,strong,resolved_strong,shanghairanking-bcur,shanghairanking-bcur,shanghairanking-bcur,2026,中国大学排名（主榜）,,rankOverall,2026软科 85,85,https://www.shanghairanking.cn/rankings/bcur/2026,entity_home,entity,4152010661,遵义医科大学,本科,shanghairanking-bcur,yes,,贵州大学|遵义医科大学,no,
