campus_id,uid,学校,省份,城市,校区,地址,来源类型,状态
PROFILE3586_1,4144014758,广东梅州职业技术学院,广东省,梅州市,广梅产业园校区,广州梅州产业转移园蕉岭路,profile,本轮读取第三方档案 · 仅定位至城市，县区待核 · 办学状态仍需官网复核
PROFILE3398_0,4151014645,天府新区航空旅游职业学院,四川省,眉山市,天府校区,四川省天府新区剑南大道南延线航空大道中段168号,profile,本轮读取第三方档案 · 仅定位至城市，县区待核 · 办学状态仍需官网复核
PROFILE3379_0,4143010836,株洲师范高等专科学校,湖南省,株洲市,云龙校区,湖南省株洲市经开区智慧路89号,profile,本轮读取第三方档案 · 仅定位至城市，县区待核 · 办学状态仍需官网复核
PROFILE3377_0,4142014555,长江艺术工程职业学院,湖北省,荆州市,办学地点（档案未命名）,湖北省荆州市纪南生态文化旅游区孙叔敖路1号,profile,本轮读取第三方档案 · 仅定位至城市，县区待核 · 办学状态仍需官网复核
PROFILE3366_1,4141014636,河南物流职业学院,河南省,郑州市,平原校区,河南省郑州市黄河大桥北中州大道与郑焦晋（原焦）高速交叉口西侧,profile,本轮读取第三方档案 · 仅定位至城市，县区待核 · 办学状态仍需官网复核
PROFILE3366_2,4141014636,河南物流职业学院,河南省,新乡市,新乡校区,新乡市科隆大道114号,profile,本轮读取第三方档案 · 仅定位至城市，县区待核 · 办学状态仍需官网复核
PROFILE3361_1,4141013889,河南林业职业学院,河南省,洛阳市,三川校区,河南省洛阳市洛常路168号,profile,本轮读取第三方档案 · 仅定位至城市，县区待核 · 办学状态仍需官网复核
PROFILE3358_0,4136014569,赣南卫生健康职业学院,江西省,赣州市,办学地点（档案未命名）,江西省赣州市蓉江新区高校园区,profile,本轮读取第三方档案 · 仅定位至城市，县区待核 · 办学状态仍需官网复核
PROFILE3346_0,4132014568,江苏航空职业技术学院,江苏省,镇江市,办学地点（档案未命名）,江苏省镇江瑞城路88号,profile,本轮读取第三方档案 · 仅定位至城市，县区待核 · 办学状态仍需官网复核
PROFILE3334_0,4113014586,唐山幼儿师范高等专科学校,河北省,唐山市,办学地点（档案未命名）,河北省唐山市高新技术开发区京唐智慧港,profile,本轮读取第三方档案 · 仅定位至城市，县区待核 · 办学状态仍需官网复核
PROFILE3332_1,4113012783,石家庄城市经济职业学院,河北省,石家庄市,东校区,河北省石家庄市经济技术开发区（东区）鼎盛街3号,profile,本轮读取第三方档案 · 仅定位至城市，县区待核 · 办学状态仍需官网复核
PROFILE3292_0,4262051378,甘肃财贸职业学院,甘肃省,兰州市,兰州新区职教园校区,甘肃省兰州市兰州新区职教园区海河街766号,profile,本轮读取第三方档案 · 仅定位至城市，县区待核 · 办学状态仍需官网复核
PROFILE3289_0,4162014594,兰州现代职业学院,甘肃省,兰州市,办学地点（档案未命名）,甘肃省兰州新区职教园区（兰州新区九龙江街500号）,profile,本轮读取第三方档案 · 仅定位至城市，县区待核 · 办学状态仍需官网复核
PROFILE3253_0,4136014537,江西师范高等专科学校,江西省,鹰潭市,办学地点（档案未命名）,江西省鹰潭市信江新区滨江东路1号,profile,本轮读取第三方档案 · 仅定位至城市，县区待核 · 办学状态仍需官网复核
