id,uid,u,p,c,d,campus,level,rank,rankLabel,tags,address,sourceName,status,source,sourceUrl,verified,lng,lat,sourceKind,evidence,dataUrl,retrievedAt,locationMethod,coordinateStatus,verifiedAt,addressAliases,notes
POI1,4111010048,中央戏剧学院,北京市,北京市,东城区,东城校区,本科,999999,,['双一流'],北京市东城区东棉花胡同39号,中央戏剧学院,本轮读取第三方档案 · 地址明确列出县区 · 办学状态仍需官网复核,教育在线院校档案,https://www.gaokao.cn/school/562,False,116.404667,39.936,profile,"[{'source': '教育在线院校档案', 'url': 'https://www.gaokao.cn/school/562', 'address': '北京市东城区东棉花胡同39号', 'campus': '东城校区', 'retrieved': '2026-09-08'}]",https://static-data.gaokao.cn/www/2.0/school/562/info.json,2026-09-08,地址明确列出县区,历史POI坐标；非本轮测绘核验,,,
POI2,4111010023,北京协和医学院,北京市,北京市,东城区,办学地点（档案未命名）,本科,14,医1,['双一流'],北京市东城区东单三条9号,北京协和医学院,本轮读取第三方档案 · 地址明确列出县区 · 办学状态仍需官网复核,教育在线院校档案,https://www.gaokao.cn/school/573,False,116.414833,39.911091,profile,"[{'source': '教育在线院校档案', 'url': 'https://www.gaokao.cn/school/573', 'address': '北京市东城区东单三条9号', 'campus': '办学地点（档案未命名）', 'retrieved': '2026-09-08'}]",https://static-data.gaokao.cn/www/2.0/school/573/info.json,2026-09-08,地址明确列出县区,历史POI坐标；非本轮测绘核验,,,
POI3,4111012561,北京财贸职业学院,北京市,北京市,东城区,东城校区,专科,999999,,[],礼士胡同41号,北京财贸职业学院(东城校区),历史POI · 坐标匹配（办学状态未复核）,Baidu POI公开快照 · pg7go,https://github.com/pg7go/The-Location-Data-of-Schools-in-China,False,116.424407,39.922326,historical,,,,,,,,
POI4,4111010045,中央音乐学院,北京市,北京市,西城区,办学地点（档案未命名）,本科,999999,,"['211', '双一流']",北京市西城区鲍家街43号,中央音乐学院,本轮读取第三方档案 · 地址明确列出县区 · 办学状态仍需官网复核,教育在线院校档案,https://www.gaokao.cn/school/40,False,116.359041,39.902486,profile,"[{'source': '教育在线院校档案', 'url': 'https://www.gaokao.cn/school/40', 'address': '北京市西城区鲍家街43号', 'campus': '办学地点（档案未命名）', 'retrieved': '2026-09-08'}]",https://static-data.gaokao.cn/www/2.0/school/40/info.json,2026-09-08,地址明确列出县区,历史POI坐标；非本轮测绘核验,,,
POI5,4111010041,中国人民公安大学,北京市,北京市,西城区,木樨地校区,本科,193,政4,['双一流'],北京市西城区木樨地南里1号,中国人民公安大学,本轮读取第三方档案 · 地址明确列出县区 · 办学状态仍需官网复核,教育在线院校档案,https://www.gaokao.cn/school/576,False,116.337088,39.90107,profile,"[{'source': '教育在线院校档案', 'url': 'https://www.gaokao.cn/school/576', 'address': '北京市西城区木樨地南里1号', 'campus': '木樨地校区', 'retrieved': '2026-09-08'}]",https://static-data.gaokao.cn/www/2.0/school/576/info.json,2026-09-08,地址明确列出县区,历史POI坐标；非本轮测绘核验,,,
POI6,4111010016,北京建筑大学,北京市,北京市,西城区,西城校区,本科,246,178,[],北京市西城区展览馆路1号,北京建筑大学,本轮读取第三方档案 · 地址明确列出县区 · 办学状态仍需官网复核,教育在线院校档案,https://www.gaokao.cn/school/572,False,116.341368,39.935039,profile,"[{'source': '教育在线院校档案', 'url': 'https://www.gaokao.cn/school/572', 'address': '北京市西城区展览馆路1号', 'campus': '西城校区', 'retrieved': '2026-09-08'}]",https://static-data.gaokao.cn/www/2.0/school/572/info.json,2026-09-08,地址明确列出县区,历史POI坐标；非本轮测绘核验,,,
POI7,4111010040,外交学院,北京市,北京市,西城区,展览馆路校区,本科,138,语4,['双一流'],北京市西城区展览馆路24号,外交学院,本轮读取第三方档案 · 地址明确列出县区 · 办学状态仍需官网复核,教育在线院校档案,https://www.gaokao.cn/school/581,False,116.34567,39.926161,profile,"[{'source': '教育在线院校档案', 'url': 'https://www.gaokao.cn/school/581', 'address': '北京市西城区展览馆路24号', 'campus': '展览馆路校区', 'retrieved': '2026-09-08'}]",https://static-data.gaokao.cn/www/2.0/school/581/info.json,2026-09-08,地址明确列出县区,历史POI坐标；非本轮测绘核验,,,
POI8,4211051160,北京开放大学,北京市,北京市,西城区,西直门校区,成人,999999,,[],北京市西城区南草厂街小后仓胡同甲36号(西城区曙光幼儿园和西城区后广平胡同黄城根小学中间北),北京开放大学西直门校区,历史POI · 坐标匹配（办学状态未复核）,Baidu POI公开快照 · pg7go,https://github.com/pg7go/The-Location-Data-of-Schools-in-China,False,116.363126,39.93747,historical,,,,,,,,
POI9,4111010027,北京师范大学,北京市,北京市,西城区,北校区,本科,19,19,"['985', '211', '双一流']",北京市西城区定阜街1号,北京师范大学(北校区),历史POI · 坐标匹配（办学状态未复核）,Baidu POI公开快照 · pg7go,https://github.com/pg7go/The-Location-Data-of-Schools-in-China,False,116.38402,39.936271,historical,,,,,,,,
POI10,4111010038,首都经济贸易大学,北京市,北京市,丰台区,校本部,本科,150,财9,[],北京市丰台区花乡张家路口121号,首都经济贸易大学,本轮读取第三方档案 · 地址明确列出县区 · 办学状态仍需官网复核,教育在线院校档案,https://www.gaokao.cn/school/875,False,116.317206,39.840748,profile,"[{'source': '教育在线院校档案', 'url': 'https://www.gaokao.cn/school/875', 'address': '北京市丰台区花乡张家路口121号', 'campus': '校本部', 'retrieved': '2026-09-08'}]",https://static-data.gaokao.cn/www/2.0/school/875/info.json,2026-09-08,地址明确列出县区,历史POI坐标；非本轮测绘核验,,,
