uid,学校,省份,城市,层次,缺口
4122014602,吉林水利电力职业学院,吉林省,长春市,专科,已有办学地点，但当前记录尚未映射到最低可用法定行政边界
4122014743,吉林通用航空职业技术学院,吉林省,吉林市,专科,已有办学地点，但当前记录尚未映射到最低可用法定行政边界
4133013286,杭州师范大学钱江学院,浙江省,杭州市,本科,已有办学地点，但当前记录尚未映射到最低可用法定行政边界
4133013289,温州理工学院,浙江省,温州市,本科,已有办学地点，但当前记录尚未映射到最低可用法定行政边界
4133013637,温州商学院,浙江省,温州市,本科,已有办学地点，但当前记录尚未映射到最低可用法定行政边界
4133014207,上海财经大学浙江学院,浙江省,金华市,本科,已有办学地点，但当前记录尚未映射到最低可用法定行政边界
4133012868,浙江育英职业技术学院,浙江省,杭州市,专科,已有办学地点，但当前记录尚未映射到最低可用法定行政边界
4137013383,山东财经大学燕山学院,山东省,济南市,本科,已有办学地点，但当前记录尚未映射到最低可用法定行政边界
4137014878,康复大学,山东省,青岛市,本科,已有办学地点，但当前记录尚未映射到最低可用法定行政边界
4137013319,山东化工职业学院,山东省,淄博市,专科,已有办学地点，但当前记录尚未映射到最低可用法定行政边界
4137014809,山东城市服务职业学院,山东省,烟台市,专科,已有办学地点，但当前记录尚未映射到最低可用法定行政边界
4137014964,滨州健康科技职业学院,山东省,滨州市,专科,已有办学地点，但当前记录尚未映射到最低可用法定行政边界
4143012650,南华大学船山学院,湖南省,衡阳市,本科,已有办学地点，但当前记录尚未映射到最低可用法定行政边界
4143013925,湖南软件职业技术大学,湖南省,湘潭市,本科,已有办学地点，但当前记录尚未映射到最低可用法定行政边界
4143013938,长沙电力职业技术学院,湖南省,长沙市,专科,已有办学地点，但当前记录尚未映射到最低可用法定行政边界
4145016205,广西农业职业技术大学,广西壮族自治区,南宁市,本科,已有办学地点，但当前记录尚未映射到最低可用法定行政边界
4146013931,三亚航空旅游职业学院,海南省,三亚市,专科,已有办学地点，但当前记录尚未映射到最低可用法定行政边界
4151010649,乐山师范学院,四川省,乐山市,本科,已有办学地点，但当前记录尚未映射到最低可用法定行政边界
4151014974,四川质量工程职业技术学院,四川省,乐山市,专科,已有办学地点，但当前记录尚未映射到最低可用法定行政边界
4153013326,滇池学院,云南省,昆明市,本科,已有办学地点，但当前记录尚未映射到最低可用法定行政边界
4153014618,云南轻纺职业学院,云南省,昆明市,专科,已有办学地点，但当前记录尚未映射到最低可用法定行政边界
4154010692,西藏警官高等专科学校,西藏自治区,拉萨市,专科,已有办学地点，但当前记录尚未映射到最低可用法定行政边界
4154014940,日喀则职业技术学院,西藏自治区,日喀则市,专科,已有办学地点，但当前记录尚未映射到最低可用法定行政边界
4161013681,陕西科技大学镐京学院,陕西省,咸阳市,本科,已有办学地点，但当前记录尚未映射到最低可用法定行政边界
4161014042,西安科技大学高新学院,陕西省,西安市,本科,已有办学地点，但当前记录尚未映射到最低可用法定行政边界
4161014945,西安戏剧学院,陕西省,西安市,本科,已有办学地点，但当前记录尚未映射到最低可用法定行政边界
4161013122,西安高新科技职业学院,陕西省,西安市,专科,已有办学地点，但当前记录尚未映射到最低可用法定行政边界
4161013124,西安城市建设职业学院,陕西省,西安市,专科,已有办学地点，但当前记录尚未映射到最低可用法定行政边界
4165014987,新疆昆仑科技学院,新疆维吾尔自治区,草湖市,本科,已有办学地点，但当前记录尚未映射到最低可用法定行政边界
4165014827,新星职业技术学院,新疆维吾尔自治区,新星市,专科,已有办学地点，但当前记录尚未映射到最低可用法定行政边界
