id,uid,u,p,c,d,regionId,precision,source,sourceKind,sourceUrl,verified,retrievedAt,status,evidence,note
A52_4111010007_110108,4111010007,北京理工大学,北京市,北京市,海淀区,110108,district,教育在线院校档案县区字段,profile-county,https://www.gaokao.cn/school/143,False,2026-09-08,仅作为县区归属候选；不代表具体校区地址、精确坐标或当前招生地点,,
A52_4151014975_511303,4151014975,南充卫生职业学院,四川省,南充市,高坪区,511303,district,教育在线院校档案县区字段,profile-county,https://www.gaokao.cn/school/3914,False,2026-09-08,仅作为县区归属候选；不代表具体校区地址、精确坐标或当前招生地点,,
A52_4164014976_640402,4164014976,固原农林职业技术学院,宁夏回族自治区,固原市,原州区,640402,district,宁夏回族自治区教育厅高校设置公示,government-district,https://jyt.nx.gov.cn/xwdt/tzgg/202507/t20250714_4960305.html,True,2026-09-08,宁夏教育厅拟设立基本情况表明确办学所在地为宁夏回族自治区固原市原州区；仅核验县区归属，不虚构校园门牌或坐标,,
A52_4137014979_371312,4137014979,临沂工学院,山东省,临沂市,河东区,371312,district,教育在线院校档案县区字段,profile-county,https://www.gaokao.cn/school/3925,False,2026-09-08,仅作为县区归属候选；不代表具体校区地址、精确坐标或当前招生地点,,
A52_4137014963_371402,4137014963,德州智能技术职业学院,山东省,德州市,德城区,371402,district,教育在线院校档案县区字段,profile-county,https://www.gaokao.cn/school/3896,False,2026-09-08,仅作为县区归属候选；不代表具体校区地址、精确坐标或当前招生地点,,
A52_4137014961_370811,4137014961,济宁卫生健康职业学院,山东省,济宁市,任城区,370811,district,教育在线院校档案县区字段,profile-county,https://www.gaokao.cn/school/3913,False,2026-09-08,仅作为县区归属候选；不代表具体校区地址、精确坐标或当前招生地点,,
A52_4137014964_371602,4137014964,滨州健康科技职业学院,山东省,滨州市,滨城区,371602,district,教育在线院校档案县区字段,profile-county,https://www.gaokao.cn/school/3898,False,2026-09-08,仅作为县区归属候选；不代表具体校区地址、精确坐标或当前招生地点,,
A52_4137014962_370285,4137014962,青岛健康科技职业学院,山东省,青岛市,莱西市,370285,district,教育在线院校档案县区字段,profile-county,https://www.gaokao.cn/school/3893,False,2026-09-08,仅作为县区归属候选；不代表具体校区地址、精确坐标或当前招生地点,,
A52_4114014954_140108,4114014954,太原卫生职业学院,山西省,太原市,尖草坪区,140108,district,教育在线院校档案县区字段,profile-county,https://www.gaokao.cn/school/3891,False,2026-09-08,仅作为县区归属候选；不代表具体校区地址、精确坐标或当前招生地点,,
A52_4114014955_140902,4114014955,忻州现代康养职业学院,山西省,忻州市,忻府区,140902,district,教育在线院校档案县区字段,profile-county,https://www.gaokao.cn/school/3894,False,2026-09-08,仅作为县区归属候选；不代表具体校区地址、精确坐标或当前招生地点,,
A52_4144012954_440507,4144012954,汕头职业技术学院,广东省,汕头市,龙湖区,440507,district,教育在线院校档案县区字段,profile-county,https://www.gaokao.cn/school/645,False,2026-09-08,仅作为县区归属候选；不代表具体校区地址、精确坐标或当前招生地点,,
A52_4145014969_450821,4145014969,贵港应用技术职业学院,广西壮族自治区,贵港市,平南县,450821,district,教育在线院校档案县区字段,profile-county,https://www.gaokao.cn/school/3903,False,2026-09-08,仅作为县区归属候选；不代表具体校区地址、精确坐标或当前招生地点,,
A52_4145014966_451103,4145014966,贺州职业技术学院,广西壮族自治区,贺州市,平桂区,451103,district,教育在线院校档案县区字段,profile-county,https://www.gaokao.cn/school/3900,False,2026-09-08,仅作为县区归属候选；不代表具体校区地址、精确坐标或当前招生地点,,
A52_4145014693_450702,4145014693,钦州幼儿师范高等专科学校,广西壮族自治区,钦州市,钦南区,450702,district,教育在线院校档案县区字段,profile-county,https://www.gaokao.cn/school/3493,False,2026-09-08,仅作为县区归属候选；不代表具体校区地址、精确坐标或当前招生地点,,
A52_4145014968_450603,4145014968,防城港现代食药品职业学院,广西壮族自治区,防城港市,防城区,450603,district,教育在线院校档案县区字段,profile-county,https://www.gaokao.cn/school/3902,False,2026-09-08,仅作为县区归属候选；不代表具体校区地址、精确坐标或当前招生地点,,
A52_4165014987_653101,4165014987,新疆昆仑科技学院,新疆维吾尔自治区,喀什地区,喀什市,653101,district,教育在线院校档案县区字段,profile-county,https://www.gaokao.cn/school/3926,False,2026-09-08,仅作为县区归属候选；不代表具体校区地址、精确坐标或当前招生地点,,
A52_4132014913_320412,4132014913,常州铁道职业技术学院,江苏省,常州市,武进区,320412,district,教育在线院校档案县区字段,profile-county,https://www.gaokao.cn/school/3785,False,2026-09-08,仅作为县区归属候选；不代表具体校区地址、精确坐标或当前招生地点,,
A52_4136014920_360502,4136014920,新余职业技术学院,江西省,新余市,渝水区,360502,district,教育在线院校档案县区字段,profile-county,https://www.gaokao.cn/school/3790,False,2026-09-08,仅作为县区归属候选；不代表具体校区地址、精确坐标或当前招生地点,,
A52_4136014960_360203,4136014960,景德镇卫生健康职业学院,江西省,景德镇市,珠山区,360203,district,教育在线院校档案县区字段,profile-county,https://www.gaokao.cn/school/3910,False,2026-09-08,仅作为县区归属候选；不代表具体校区地址、精确坐标或当前招生地点,,
A52_4113014951_130702,4113014951,张家口应用技术职业学院,河北省,张家口市,桥东区,130702,district,教育在线院校档案县区字段,profile-county,https://www.gaokao.cn/school/3887,False,2026-09-08,仅作为县区归属候选；不代表具体校区地址、精确坐标或当前招生地点,,
A52_4113014632_130802,4113014632,承德应用技术职业学院,河北省,承德市,双桥区,130802,district,教育在线院校档案县区字段,profile-county,https://www.gaokao.cn/school/3419,False,2026-09-08,仅作为县区归属候选；不代表具体校区地址、精确坐标或当前招生地点,,
A52_4113014952_130105,4113014952,石家庄康养职业学院,河北省,石家庄市,新华区,130105,district,教育在线院校档案县区字段,profile-county,https://www.gaokao.cn/school/3888,False,2026-09-08,仅作为县区归属候选；不代表具体校区地址、精确坐标或当前招生地点,,
A52_4113014953_130181,4113014953,辛集应用技术职业学院,河北省,石家庄市,辛集市,130181,district,教育在线院校档案县区字段,profile-county,https://www.gaokao.cn/school/3890,False,2026-09-08,仅作为县区归属候选；不代表具体校区地址、精确坐标或当前招生地点,,
A52_4141014982_411282,4141014982,河南应用工程学院,河南省,三门峡市,灵宝市,411282,district,教育在线院校档案县区字段,profile-county,https://www.gaokao.cn/school/3923,False,2026-09-08,仅作为县区归属候选；不代表具体校区地址、精确坐标或当前招生地点,,
A52_4141014530_410421,4141014530,平顶山文化艺术职业学院,河南省,平顶山市,宝丰县,410421,district,教育在线院校档案县区字段,profile-county,https://www.gaokao.cn/school/3373,False,2026-09-08,仅作为县区归属候选；不代表具体校区地址、精确坐标或当前招生地点,,
A52_4141014980_410902,4141014980,河南能源化工学院,河南省,濮阳市,华龙区,410902,district,教育在线院校档案县区字段,profile-county,https://www.gaokao.cn/school/3922,False,2026-09-08,仅作为县区归属候选；不代表具体校区地址、精确坐标或当前招生地点,,
A52_4143014983_430181,4143014983,长沙健康学院,湖南省,长沙市,浏阳市,430181,district,教育在线院校档案县区字段,profile-county,https://www.gaokao.cn/school/3921,False,2026-09-08,仅作为县区归属候选；不代表具体校区地址、精确坐标或当前招生地点,,
A52_4154014940_540202,4154014940,日喀则职业技术学院,西藏自治区,日喀则市,桑珠孜区,540202,district,教育在线院校档案县区字段,profile-county,https://www.gaokao.cn/school/3808,False,2026-09-08,仅作为县区归属候选；不代表具体校区地址、精确坐标或当前招生地点,,
A52_4221051143_211381,4221051143,朝阳职业技术学院,辽宁省,朝阳市,北票市,211381,district,教育在线院校档案县区字段,profile-county,https://www.gaokao.cn/school/3895,False,2026-09-08,仅作为县区归属候选；不代表具体校区地址、精确坐标或当前招生地点,,
A52_AUTH_4150014971_500235,4150014971,重庆城乡发展职业学院,重庆市,重庆市,云阳县,500235,district,政府公开县区依据,government-district,https://gxhzs.cq.gov.cn/zwxx_524/zwdt/202608/t20260821_15961270.html,True,2026-09-08,重庆市供销合作总社2026年开学筹备督查明确学校位于云阳县；仅核对县区，不伪造校园门牌或坐标,,
A52_AUTH_4150014972_500102,4150014972,重庆中药职业学院,重庆市,重庆市,涪陵区,500102,district,政府公开县区依据,government-district,https://www.cq.gov.cn/zwgk/zfxxgkml/szfwj/qtgw/202604/t20260403_15590154.html,True,2026-09-08,重庆市2026年市级重点项目清单将重庆中药职业学院项目列为涪陵区项目；仅核对县区，不伪造校园门牌或坐标,,
A52_4123014956_230112,4123014956,哈尔滨健康职业学院,黑龙江省,哈尔滨市,阿城区,230112,district,教育在线院校档案县区字段,profile-county,https://www.gaokao.cn/school/3897,False,2026-09-08,仅作为县区归属候选；不代表具体校区地址、精确坐标或当前招生地点,,
A52_4123014912_230202,4123014912,齐齐哈尔立德健康职业学院,黑龙江省,齐齐哈尔市,龙沙区,230202,district,教育在线院校档案县区字段,profile-county,https://www.gaokao.cn/school/3784,False,2026-09-08,仅作为县区归属候选；不代表具体校区地址、精确坐标或当前招生地点,,
A53_4134014165_341226,4134014165,民办安徽旅游职业学院,安徽省,阜阳市,颍上县,341226,district,中共颍上县委巡视整改公开通报,government-district,https://m.ahjjjc.gov.cn/p/108300.html,True,2026-09-09,县级官方公开通报明确“安徽旅游职业学院一期已投入使用”；仅确认学校在颍上县存在办学项目，不冒充具体门牌或精确坐标,中共颍上县委关于巡视整改进展情况的通报，在颍上县教育项目建设事项中明确列出安徽旅游职业学院一期已投入使用,学校曾有迪沟等历史地址；本条只承担县区归属证据，不声明全部现用校区。
A53_4136013866_360113,4136013866,江西经济管理职业学院,江西省,南昌市,红谷滩区,360113,district,2025招生资料镜像与江西行政区划标准交叉核对,profile-county,https://www.chinaschool.com.cn/i_region/i_14_jiangxi/b_30/2025/zhinan-2025.html,False,2026-09-09,2025招生资料镜像标注资料来源为院校官方网站，并沿用南昌红角洲办学位置；只降级确认红谷滩区归属，不把镜像门牌当作2026官方现用校区地址,教育部2026普通高校名单仍保留学校标识码4136013866；2025招生资料镜像继续展示该校招生资料，历史及公开院校资料一致指向红角洲。红谷滩区行政代码360113由江西地方标准确认。,独立实体与江西飞行学院/原江西经济管理干部学院的承继关系仍需省级官方文件进一步厘清；本条只解决县区定位，不对法律承继作推断。
A53_4121012730_210213,4121012730,大连商务职业学院,辽宁省,大连市,金州区,210213,district,2025招生资料镜像 + 院校资料 + 中国教育考试网历史考点交叉核对,profile-county,https://www.chinaschool.com.cn/i_region/i_6_liaoning/b_19/2025/zhinan-2025.html,False,2026-09-09,2025招生资料镜像仍展示学校招生资料，2023院校资料明确学校位于大连市金州区；仅确认县区归属，不把历史龙山路门牌冒充2026现用校区,中国教育考试网历史考点记录曾列大连商务职业学院为大连市金州区龙山路1号；较新的院校资料继续明确金州区，但缺少当前学校官网可直连门牌页，因此降级为县区association。,学校当前实际招生/持续办学状态仍需辽宁省教育厅或学校官网进一步核验；本条不声明具体门牌和坐标。历史官方考点依据：https://ncre.neea.edu.cn/xhtml1/report/1511/68-1.htm
