uid,学校,省份,城市,状态,说明,依据
4113013404,河北大学工商学院,河北省,保定市,terminating,已停止招生 / 终止办学程序,https://www.thepaper.cn/newsDetail_forward_11090362
4115014050,赤峰职业技术学院,内蒙古自治区,赤峰市,nonOperating,已停止办学,https://news.cctv.com/2023/07/11/ARTIy5tl8gW39BrYmudj0m3y230711.shtml
4115014051,内蒙古经贸外语职业学院,内蒙古自治区,呼和浩特市,nonRecruiting,已被停止招生资格,https://www.sxks114.com/h-nd-18624.html
4121013199,沈阳工业大学工程学院,辽宁省,辽阳市,nonRecruiting,已停止招生,https://www.moe.gov.cn/jyb_xwfb/s5147/201506/t20150630_191703.html
4121013200,沈阳航空航天大学北方科技学院,辽宁省,沈阳市,nonOperating,已停止办学，但未撤销,https://tjj.shenyang.gov.cn/files/ueditor/SYTJJ/jsp/upload/file/20211118/1637193459989050911.pdf
4121012730,大连商务职业学院,辽宁省,大连市,nonRecruiting,已停止招生,https://www.tech.net.cn/upfiles/zlbg2016/sf/ln.pdf
4121013959,大连翻译职业学院,辽宁省,大连市,nonRecruiting,已停止招生 / 长期无正常办学活动,https://www.zggx100.com/sys-nd/7865.html
4131012585,上海欧华职业技术学院,上海市,上海市,closed,办学许可证已废止,https://edu.sh.gov.cn/xxgk2_zdgz_mbjy_01/20220125/8e1beb15111f459882a48d67e7a9cf09.html
4131014023,上海工会管理职业学院,上海市,上海市,nonDegreeTraining,已剥离学历教育功能,https://www.shghxy.org.cn/xyjj.jhtml
4132012680,应天职业技术学院,江苏省,南京市,nonRecruiting,已停止招生,https://sgjs.cztgi.edu.cn/2026/0729/c2670a89541/page.htm
4137013005,青岛飞洋职业技术学院,山东省,青岛市,nonRecruiting,已停止招生,https://www.moe.gov.cn/jyb_xwfb/s5147/201507/t20150703_192338.html
4143011604,湖南冶金职业技术学院,湖南省,株洲市,merged,已并入湖南工业大学,https://job.hut.edu.cn/detail/news?id=19351&menu_id=947
4144013177,北京师范大学珠海分校,广东省,珠海市,closed,已终止办学,https://news.bnu.edu.cn/zx/zhxw/109390.htm?dt_dapp=1
4144014361,广东青年职业学院,广东省,广州市,mergedBrandRetained,已整合入广东行政职业学院（保留原牌子）,https://edu.gd.gov.cn/attachment/0/496/496513/3992524.pdf
4153014534,公安消防部队高等专科学校,云南省,昆明市,merged,已整合组建中国消防救援学院,https://js.119.gov.cn/202606/jsxfww-menu-XXGK-tzgg_c_bb61540cae0049269ea1.html
4161013685,西安电子科技大学长安学院,陕西省,西安市,nonOperating,已停止办学,https://ishare.ifeng.com/c/s/7mXXO7537dk
4161014034,长安大学兴华学院,陕西省,西安市,nonRecruiting,已停止招生,https://www.xags.edu.cn/tzgg/webinfo/2024/3/1000000000031143.htm
4165012513,新疆机电职业技术学院,新疆维吾尔自治区,乌鲁木齐市,merged,已并入新疆工程学院,https://jyt.xinjiang.gov.cn/edu/yjs/202403/ba94790afe4e45efb9c9992b3a273ce1/files/30.%E6%96%B0%E7%96%86%E5%B7%A5%E7%A8%8B%E5%AD%A6%E9%99%A22024%E5%B9%B4%E5%8D%95%E4%BD%8D%E9%A2%84%E7%AE%97%E5%85%AC%E5%BC%80%E6%8A%A5%E5%91%8A-2024.11.22.pdf
