uid,学校,省份,城市,层次,档案编号,缺口
4112012881,天津开发区职业技术学院,天津市,天津市,专科,,具体校区及地址未匹配
4112014102,天津广播影视职业学院,天津市,天津市,专科,,具体校区及地址未匹配
4113013404,河北大学工商学院,河北省,保定市,本科,,具体校区及地址未匹配
4113014951,张家口应用技术职业学院,河北省,张家口市,专科,3887,具体校区及地址未匹配
4114013608,山西财经大学华商学院,山西省,太原市,本科,,具体校区及地址未匹配
4115014050,赤峰职业技术学院,内蒙古自治区,赤峰市,专科,,具体校区及地址未匹配
4115014051,内蒙古经贸外语职业学院,内蒙古自治区,呼和浩特市,专科,,具体校区及地址未匹配
4115014282,内蒙古工业职业学院,内蒙古自治区,呼和浩特市,专科,,具体校区及地址未匹配
4121013199,沈阳工业大学工程学院,辽宁省,辽阳市,本科,,具体校区及地址未匹配
4121013200,沈阳航空航天大学北方科技学院,辽宁省,沈阳市,本科,,具体校区及地址未匹配
4121012591,辽宁体育运动职业技术学院,辽宁省,沈阳市,专科,,具体校区及地址未匹配
4121012730,大连商务职业学院,辽宁省,大连市,专科,,具体校区及地址未匹配
4121013958,大连软件职业学院,辽宁省,大连市,专科,,具体校区及地址未匹配
4121013959,大连翻译职业学院,辽宁省,大连市,专科,,具体校区及地址未匹配
4121013960,辽宁商贸职业学院,辽宁省,沈阳市,专科,,具体校区及地址未匹配
4121014398,辽宁政法职业学院,辽宁省,沈阳市,专科,,具体校区及地址未匹配
4221051143,朝阳职业技术学院,辽宁省,朝阳市,专科,3895,具体校区及地址未匹配
4123014912,齐齐哈尔立德健康职业学院,黑龙江省,齐齐哈尔市,专科,3784,具体校区及地址未匹配
4123014956,哈尔滨健康职业学院,黑龙江省,哈尔滨市,专科,3897,具体校区及地址未匹配
4131012585,上海欧华职业技术学院,上海市,上海市,专科,,具体校区及地址未匹配
4131014023,上海工会管理职业学院,上海市,上海市,专科,,具体校区及地址未匹配
4132012680,应天职业技术学院,江苏省,南京市,专科,,具体校区及地址未匹配
4132012683,扬州环境资源职业技术学院,江苏省,扬州市,专科,,具体校区及地址未匹配
4132014913,常州铁道职业技术学院,江苏省,常州市,专科,3785,具体校区及地址未匹配
4133012646,浙江电力职业技术学院,浙江省,杭州市,专科,,具体校区及地址未匹配
4134013847,安徽公安职业学院,安徽省,合肥市,专科,,具体校区及地址未匹配
4134014165,民办安徽旅游职业学院,安徽省,阜阳市,专科,,具体校区及地址未匹配
4134014957,安徽特殊教育职业学院,安徽省,合肥市,专科,3904,具体校区及地址未匹配
4136013866,江西经济管理职业学院,江西省,南昌市,专科,,具体校区及地址未匹配
4136014920,新余职业技术学院,江西省,新余市,专科,3790,具体校区及地址未匹配
4136014960,景德镇卫生健康职业学院,江西省,景德镇市,专科,3910,具体校区及地址未匹配
4137014979,临沂工学院,山东省,临沂市,本科,3925,具体校区及地址未匹配
4137013005,青岛飞洋职业技术学院,山东省,青岛市,专科,,具体校区及地址未匹配
4137014961,济宁卫生健康职业学院,山东省,济宁市,专科,3913,具体校区及地址未匹配
4137014963,德州智能技术职业学院,山东省,德州市,专科,3896,具体校区及地址未匹配
4137014964,滨州健康科技职业学院,山东省,滨州市,专科,3898,具体校区及地址未匹配
4141014982,河南应用工程学院,河南省,三门峡市,本科,3923,具体校区及地址未匹配
4141014530,平顶山文化艺术职业学院,河南省,平顶山市,专科,3373,具体校区及地址未匹配
4143012599,湘潭大学兴湘学院,湖南省,湘潭市,本科,,具体校区及地址未匹配
4143014983,长沙健康学院,湖南省,长沙市,本科,3921,具体校区及地址未匹配
4143011604,湖南冶金职业技术学院,湖南省,株洲市,专科,,具体校区及地址未匹配
4144013177,北京师范大学珠海分校,广东省,珠海市,本科,,具体校区及地址未匹配
4144014361,广东青年职业学院,广东省,广州市,专科,,具体校区及地址未匹配
4145014966,贺州职业技术学院,广西壮族自治区,贺州市,专科,3900,具体校区及地址未匹配
4145014968,防城港现代食药品职业学院,广西壮族自治区,防城港市,专科,3902,具体校区及地址未匹配
4145014969,贵港应用技术职业学院,广西壮族自治区,贵港市,专科,3903,具体校区及地址未匹配
4146014970,海南万宁食品药品职业学院,海南省,万宁市,专科,3906,具体校区及地址未匹配
4150014971,重庆城乡发展职业学院,重庆市,重庆市,专科,3908,具体校区及地址未匹配
4150014972,重庆中药职业学院,重庆市,重庆市,专科,3909,具体校区及地址未匹配
4152013053,贵州电力职业技术学院,贵州省,贵阳市,专科,,具体校区及地址未匹配
4153014534,公安消防部队高等专科学校,云南省,昆明市,专科,,具体校区及地址未匹配
4154014940,日喀则职业技术学院,西藏自治区,日喀则市,专科,3808,具体校区及地址未匹配
4161013685,西安电子科技大学长安学院,陕西省,西安市,本科,,具体校区及地址未匹配
4161014034,长安大学兴华学院,陕西省,西安市,本科,,具体校区及地址未匹配
4161013932,陕西经济管理职业技术学院,陕西省,西安市,专科,,具体校区及地址未匹配
4164014976,固原农林职业技术学院,宁夏回族自治区,固原市,专科,3915,具体校区及地址未匹配
4165014987,新疆昆仑科技学院,新疆维吾尔自治区,喀什地区,本科,3926,具体校区及地址未匹配
4165012513,新疆机电职业技术学院,新疆维吾尔自治区,乌鲁木齐市,专科,,具体校区及地址未匹配
4165014978,新疆石河子航空职业学院,新疆维吾尔自治区,石河子市,专科,3892,具体校区及地址未匹配
