id,uid,universityName,rankingId,agency,rankingName,edition,rank,rankDisplay,rankLower,rankUpper,rankMidpoint,referenceRank,referenceRankOrRank,nationalRank,score,category,scope,sourceUrl,publishedAt,retrievedAt,verified,notes,displayLabel
RANK_SR_BCUR_2026_4111010003,4111010003,清华大学,shanghairanking-bcur,ShanghaiRanking,软科中国大学排名,2026,1,1,,,1.0,1,1,,1087.1,主榜,China-mainland,https://www.shanghairanking.cn/rankings/bcur/202610,,2026-09-13,True,软科官方公开 API；rankDisplay 保留榜单显示名次，referenceRank 使用官方 rankOverall/主榜参考位次；分类榜名次不冒充全国主榜名次。,2026软科 1
RANK_SR_BCUR_2026_4111010001,4111010001,北京大学,shanghairanking-bcur,ShanghaiRanking,软科中国大学排名,2026,2,2,,,2.0,2,2,,1036.3,主榜,China-mainland,https://www.shanghairanking.cn/rankings/bcur/202610,,2026-09-13,True,软科官方公开 API；rankDisplay 保留榜单显示名次，referenceRank 使用官方 rankOverall/主榜参考位次；分类榜名次不冒充全国主榜名次。,2026软科 2
RANK_SR_BCUR_2026_4133010335,4133010335,浙江大学,shanghairanking-bcur,ShanghaiRanking,软科中国大学排名,2026,3,3,,,3.0,3,3,,895.6,主榜,China-mainland,https://www.shanghairanking.cn/rankings/bcur/202610,,2026-09-13,True,软科官方公开 API；rankDisplay 保留榜单显示名次，referenceRank 使用官方 rankOverall/主榜参考位次；分类榜名次不冒充全国主榜名次。,2026软科 3
RANK_SR_BCUR_2026_4131010248,4131010248,上海交通大学,shanghairanking-bcur,ShanghaiRanking,软科中国大学排名,2026,4,4,,,4.0,4,4,,894.2,主榜,China-mainland,https://www.shanghairanking.cn/rankings/bcur/202610,,2026-09-13,True,软科官方公开 API；rankDisplay 保留榜单显示名次，referenceRank 使用官方 rankOverall/主榜参考位次；分类榜名次不冒充全国主榜名次。,2026软科 4
RANK_SR_BCUR_2026_4131010246,4131010246,复旦大学,shanghairanking-bcur,ShanghaiRanking,软科中国大学排名,2026,5,5,,,5.0,5,5,,792.4,主榜,China-mainland,https://www.shanghairanking.cn/rankings/bcur/202610,,2026-09-13,True,软科官方公开 API；rankDisplay 保留榜单显示名次，referenceRank 使用官方 rankOverall/主榜参考位次；分类榜名次不冒充全国主榜名次。,2026软科 5
RANK_SR_BCUR_2026_4132010284,4132010284,南京大学,shanghairanking-bcur,ShanghaiRanking,软科中国大学排名,2026,6,6,,,6.0,6,6,,708.5,主榜,China-mainland,https://www.shanghairanking.cn/rankings/bcur/202610,,2026-09-13,True,软科官方公开 API；rankDisplay 保留榜单显示名次，referenceRank 使用官方 rankOverall/主榜参考位次；分类榜名次不冒充全国主榜名次。,2026软科 6
RANK_SR_BCUR_2026_4134010358,4134010358,中国科学技术大学,shanghairanking-bcur,ShanghaiRanking,软科中国大学排名,2026,7,7,,,7.0,7,7,,653.1,主榜,China-mainland,https://www.shanghairanking.cn/rankings/bcur/202610,,2026-09-13,True,软科官方公开 API；rankDisplay 保留榜单显示名次，referenceRank 使用官方 rankOverall/主榜参考位次；分类榜名次不冒充全国主榜名次。,2026软科 7
RANK_SR_BCUR_2026_4142010486,4142010486,武汉大学,shanghairanking-bcur,ShanghaiRanking,软科中国大学排名,2026,8,8,,,8.0,8,8,,638.7,主榜,China-mainland,https://www.shanghairanking.cn/rankings/bcur/202610,,2026-09-13,True,软科官方公开 API；rankDisplay 保留榜单显示名次，referenceRank 使用官方 rankOverall/主榜参考位次；分类榜名次不冒充全国主榜名次。,2026软科 8
RANK_SR_BCUR_2026_4142010487,4142010487,华中科技大学,shanghairanking-bcur,ShanghaiRanking,软科中国大学排名,2026,9,9,,,9.0,9,9,,638,主榜,China-mainland,https://www.shanghairanking.cn/rankings/bcur/202610,,2026-09-13,True,软科官方公开 API；rankDisplay 保留榜单显示名次，referenceRank 使用官方 rankOverall/主榜参考位次；分类榜名次不冒充全国主榜名次。,2026软科 9
RANK_SR_BCUR_2026_4161010698,4161010698,西安交通大学,shanghairanking-bcur,ShanghaiRanking,软科中国大学排名,2026,10,10,,,10.0,10,10,,620.8,主榜,China-mainland,https://www.shanghairanking.cn/rankings/bcur/202610,,2026-09-13,True,软科官方公开 API；rankDisplay 保留榜单显示名次，referenceRank 使用官方 rankOverall/主榜参考位次；分类榜名次不冒充全国主榜名次。,2026软科 10
RANK_SR_BCUR_2026_4111010006,4111010006,北京航空航天大学,shanghairanking-bcur,ShanghaiRanking,软科中国大学排名,2026,11,11,,,11.0,11,11,,612.8,主榜,China-mainland,https://www.shanghairanking.cn/rankings/bcur/202610,,2026-09-13,True,软科官方公开 API；rankDisplay 保留榜单显示名次，referenceRank 使用官方 rankOverall/主榜参考位次；分类榜名次不冒充全国主榜名次。,2026软科 11
RANK_SR_BCUR_2026_4123010213,4123010213,哈尔滨工业大学,shanghairanking-bcur,ShanghaiRanking,软科中国大学排名,2026,12,12,,,12.0,12,12,,607.7,主榜,China-mainland,https://www.shanghairanking.cn/rankings/bcur/202610,,2026-09-13,True,软科官方公开 API；rankDisplay 保留榜单显示名次，referenceRank 使用官方 rankOverall/主榜参考位次；分类榜名次不冒充全国主榜名次。,2026软科 12
RANK_SR_BCUR_2026_4144010558,4144010558,中山大学,shanghairanking-bcur,ShanghaiRanking,软科中国大学排名,2026,13,13,,,13.0,13,13,,597.6,主榜,China-mainland,https://www.shanghairanking.cn/rankings/bcur/202610,,2026-09-13,True,软科官方公开 API；rankDisplay 保留榜单显示名次，referenceRank 使用官方 rankOverall/主榜参考位次；分类榜名次不冒充全国主榜名次。,2026软科 13
RANK_SR_BCUR_2026_4111010023,4111010023,北京协和医学院,shanghairanking-bcur,ShanghaiRanking,软科中国大学排名,2026,1,医1,,,1.0,14,14,,,医药,China-mainland,https://www.shanghairanking.cn/rankings/bcur/202610,,2026-09-13,True,软科官方公开 API；rankDisplay 保留榜单显示名次，referenceRank 使用官方 rankOverall/主榜参考位次；分类榜名次不冒充全国主榜名次。,2026软科医药 医1 · 主榜参考 14
RANK_SR_BCUR_2026_4111010007,4111010007,北京理工大学,shanghairanking-bcur,ShanghaiRanking,软科中国大学排名,2026,14,14,,,14.0,14,14,,595.4,主榜,China-mainland,https://www.shanghairanking.cn/rankings/bcur/202610,,2026-09-13,True,软科官方公开 API；rankDisplay 保留榜单显示名次，referenceRank 使用官方 rankOverall/主榜参考位次；分类榜名次不冒充全国主榜名次。,2026软科 14
RANK_SR_BCUR_2026_4132010286,4132010286,东南大学,shanghairanking-bcur,ShanghaiRanking,软科中国大学排名,2026,15,15,,,15.0,15,15,,592.3,主榜,China-mainland,https://www.shanghairanking.cn/rankings/bcur/202610,,2026-09-13,True,软科官方公开 API；rankDisplay 保留榜单显示名次，referenceRank 使用官方 rankOverall/主榜参考位次；分类榜名次不冒充全国主榜名次。,2026软科 15
RANK_SR_BCUR_2026_4151010610,4151010610,四川大学,shanghairanking-bcur,ShanghaiRanking,软科中国大学排名,2026,16,16,,,16.0,16,16,,581.3,主榜,China-mainland,https://www.shanghairanking.cn/rankings/bcur/202610,,2026-09-13,True,软科官方公开 API；rankDisplay 保留榜单显示名次，referenceRank 使用官方 rankOverall/主榜参考位次；分类榜名次不冒充全国主榜名次。,2026软科 16
RANK_SR_BCUR_2026_4111010002,4111010002,中国人民大学,shanghairanking-bcur,ShanghaiRanking,软科中国大学排名,2026,17,17,,,17.0,17,17,,558.1,主榜,China-mainland,https://www.shanghairanking.cn/rankings/bcur/202610,,2026-09-13,True,软科官方公开 API；rankDisplay 保留榜单显示名次，referenceRank 使用官方 rankOverall/主榜参考位次；分类榜名次不冒充全国主榜名次。,2026软科 17
RANK_SR_BCUR_2026_4131010247,4131010247,同济大学,shanghairanking-bcur,ShanghaiRanking,软科中国大学排名,2026,18,18,,,18.0,18,18,,556.6,主榜,China-mainland,https://www.shanghairanking.cn/rankings/bcur/202610,,2026-09-13,True,软科官方公开 API；rankDisplay 保留榜单显示名次，referenceRank 使用官方 rankOverall/主榜参考位次；分类榜名次不冒充全国主榜名次。,2026软科 18
RANK_SR_BCUR_2026_4111010027,4111010027,北京师范大学,shanghairanking-bcur,ShanghaiRanking,软科中国大学排名,2026,19,19,,,19.0,19,19,,553.2,主榜,China-mainland,https://www.shanghairanking.cn/rankings/bcur/202610,,2026-09-13,True,软科官方公开 API；rankDisplay 保留榜单显示名次，referenceRank 使用官方 rankOverall/主榜参考位次；分类榜名次不冒充全国主榜名次。,2026软科 19
