id,u,p,c,d,regp,hostRaw,level,rankLabel,rank,tags,private,source,notes,profileId,officialWebsite,profileAddress,rankingEligible,entityStatus,statusLabel,statusEffectiveFrom,statusSourceUrl,statusEvidence,hostBoundaryStatus,hostOverrideSourceUrl,hostOverrideEvidence,hostOverrideNote,originalHost,preferredRank,latestRankings,admissionFactCount,latestAdmissionYear,financeFactCount,latestFinanceYear
4111010001,北京大学,北京市,北京市,,北京市,北京市,本科,2,1,"['985', '211', '双一流']",False,教育部2026名录（CSV镜像）,,31,https://www.pku.edu.cn/,"燕园校区（校本部）：北京市海淀区颐和园路5号,医学部校区：北京市海淀区学院路38号,昌平校区：北京市昌平区十三陵镇西山口村,深圳研究生院：深圳市南山区西丽镇丽水路深圳大学城北大校区,新燕园校区：北京市昌平区马池口镇",True,,,,,,,,,,,"{'rankingId': 'shanghairanking-bcur', 'edition': '2026', 'sortValue': 2.0, 'label': '2026软科 2', 'sourceUrl': 'https://www.shanghairanking.cn/rankings/bcur/202610'}","{'shanghairanking-bcur': {'id': 'RANK_SR_BCUR_2026_PKU', 'universityName': '北京大学', 'rankingId': 'shanghairanking-bcur', 'agency': 'ShanghaiRanking', 'rankingName': '软科中国大学排名（主榜）', 'edition': '2026', 'rank': 2, 'rankDisplay': '2', 'score': 1036.3, 'scope': 'China-mainland', 'category': '综合', 'sourceUrl': 'https://www.shanghairanking.cn/rankings/bcur/202610', 'publishedAt': '2026-04-15', 'retrievedAt': '2026-09-09', 'verified': True, 'uid': '4111010001', 'rankMidpoint': 2.0, 'referenceRankOrRank': 2.0, 'displayLabel': '2026软科 2'}, 'qs-wur': {'id': 'RANK_QS_WUR_2027_PKU', 'universityName': '北京大学', 'rankingId': 'qs-wur', 'agency': 'QS', 'rankingName': 'QS World University Rankings', 'edition': '2027', 'rank': 13, 'rankDisplay': '13', 'score': 92.6, 'scope': 'world', 'sourceUrl': 'https://www.topuniversities.com/world-university-rankings', 'publishedAt': '2026-06-18', 'retrievedAt': '2026-09-09', 'verified': True, 'uid': '4111010001', 'rankMidpoint': 13.0, 'referenceRankOrRank': 13.0, 'displayLabel': 'QS 2027 13'}, 'the-wur': {'id': 'RANK_THE_WUR_2026_PKU', 'universityName': '北京大学', 'rankingId': 'the-wur', 'agency': 'Times Higher Education', 'rankingName': 'World University Rankings', 'edition': '2026', 'rank': 13, 'rankDisplay': '13', 'score': 92.3, 'scope': 'world', 'sourceUrl': 'https://www.timeshighereducation.com/student/best-universities/best-universities-china', 'retrievedAt': '2026-09-09', 'verified': True, 'uid': '4111010001', 'rankMidpoint': 13.0, 'referenceRankOrRank': 13.0, 'displayLabel': 'THE 2026 13'}, 'arwu': {'id': 'RANK_ARWU_2026_PKU', 'universityName': '北京大学', 'rankingId': 'arwu', 'agency': 'ShanghaiRanking', 'rankingName': 'Academic Ranking of World Universities', 'edition': '2026', 'rank': 22, 'rankDisplay': '22', 'nationalRank': 2, 'score': 45.6, 'scope': 'world', 'sourceUrl': 'https://www.shanghairanking.com/rankings/arwu/2026', 'retrievedAt': '2026-09-09', 'verified': True, 'uid': '4111010001', 'rankMidpoint': 22.0, 'referenceRankOrRank': 22.0, 'displayLabel': 'ARWU 2026 22'}}",0,,0,
4111010002,中国人民大学,北京市,北京市,,北京市,北京市,本科,17,17,"['985', '211', '双一流']",False,教育部2026名录（CSV镜像）,,46,https://www.ruc.edu.cn,"中关村校区：北京市海淀区中关村大街59号,通州校区：北京市通州区运河东大街37号,张自忠路校区：北京市东城区张自忠路3号",True,,,,,,,,,,,"{'rankingId': 'legacy-shanghairanking-bcur', 'edition': '2026', 'sortValue': 17.0, 'label': '2026软科主榜 17', 'sourceUrl': 'https://www.shanghairanking.cn/rankings/bcur/2026', 'legacy': True}",{},0,,0,
4111010003,清华大学,北京市,北京市,,北京市,北京市,本科,1,0,"['985', '211', '双一流']",False,教育部2026名录（CSV镜像）,,140,https://www.tsinghua.edu.cn,北京市海淀区清华大学,True,,,,,,,,,,,"{'rankingId': 'shanghairanking-bcur', 'edition': '2026', 'sortValue': 1.0, 'label': '2026软科 1', 'sourceUrl': 'https://www.shanghairanking.cn/rankings/bcur/202610'}","{'shanghairanking-bcur': {'id': 'RANK_SR_BCUR_2026_TSINGHUA', 'universityName': '清华大学', 'rankingId': 'shanghairanking-bcur', 'agency': 'ShanghaiRanking', 'rankingName': '软科中国大学排名（主榜）', 'edition': '2026', 'rank': 1, 'rankDisplay': '1', 'score': 1087.1, 'scope': 'China-mainland', 'category': '综合', 'sourceUrl': 'https://www.shanghairanking.cn/rankings/bcur/202610', 'publishedAt': '2026-04-15', 'retrievedAt': '2026-09-09', 'verified': True, 'uid': '4111010003', 'rankMidpoint': 1.0, 'referenceRankOrRank': 1.0, 'displayLabel': '2026软科 1'}, 'qs-wur': {'id': 'RANK_QS_WUR_2027_TSINGHUA', 'universityName': '清华大学', 'rankingId': 'qs-wur', 'agency': 'QS', 'rankingName': 'QS World University Rankings', 'edition': '2027', 'rank': 14, 'rankDisplay': '14', 'score': 92.1, 'scope': 'world', 'sourceUrl': 'https://www.topuniversities.com/world-university-rankings', 'publishedAt': '2026-06-18', 'retrievedAt': '2026-09-09', 'verified': True, 'uid': '4111010003', 'rankMidpoint': 14.0, 'referenceRankOrRank': 14.0, 'displayLabel': 'QS 2027 14'}, 'the-wur': {'id': 'RANK_THE_WUR_2026_TSINGHUA', 'universityName': '清华大学', 'rankingId': 'the-wur', 'agency': 'Times Higher Education', 'rankingName': 'World University Rankings', 'edition': '2026', 'rank': 12, 'rankDisplay': '12', 'score': 93.0, 'scope': 'world', 'sourceUrl': 'https://www.timeshighereducation.com/student/best-universities/best-universities-china', 'retrievedAt': '2026-09-09', 'verified': True, 'uid': '4111010003', 'rankMidpoint': 12.0, 'referenceRankOrRank': 12.0, 'displayLabel': 'THE 2026 12'}, 'arwu': {'id': 'RANK_ARWU_2026_TSINGHUA', 'universityName': '清华大学', 'rankingId': 'arwu', 'agency': 'ShanghaiRanking', 'rankingName': 'Academic Ranking of World Universities', 'edition': '2026', 'rank': 18, 'rankDisplay': '18', 'nationalRank': 1, 'score': 48.3, 'scope': 'world', 'sourceUrl': 'https://www.shanghairanking.com/rankings/arwu/2026', 'retrievedAt': '2026-09-09', 'verified': True, 'uid': '4111010003', 'rankMidpoint': 18.0, 'referenceRankOrRank': 18.0, 'displayLabel': 'ARWU 2026 18'}}",0,,0,
4111010004,北京交通大学,北京市,北京市,,北京市,北京市,本科,41,44,"['211', '双一流']",False,教育部2026名录（CSV镜像）,,38,https://www.bjtu.edu.cn/,"西校区：北京市海淀区上园村3号,东校区：北京市海淀区高粱桥斜街44号",True,,,,,,,,,,,"{'rankingId': 'legacy-shanghairanking-bcur', 'edition': '2026', 'sortValue': 44.0, 'label': '2026软科主榜 41', 'sourceUrl': 'https://www.shanghairanking.cn/rankings/bcur/2026', 'legacy': True}",{},0,,0,
4111010005,北京工业大学,北京市,北京市,,北京市,北京市,本科,65,77,"['211', '双一流']",False,教育部2026名录（CSV镜像）,,30,https://www.bjut.edu.cn/,"校本部：北京市朝阳区平乐园100号,中蓝校区：北京市朝阳区惠新东街8号,管庄校区：北京市朝阳区管庄西里20号,花园村校区：北京市海淀区车公庄西路35号,琉璃井校区：北京市东城区永外琉璃井路41号,惠新东街校区：北京市朝阳区惠新东街8号100号,通州校区：北京市通州区潞苑南大街89号",True,,,,,,,,,,,"{'rankingId': 'legacy-shanghairanking-bcur', 'edition': '2026', 'sortValue': 77.0, 'label': '2026软科主榜 65', 'sourceUrl': 'https://www.shanghairanking.cn/rankings/bcur/2026', 'legacy': True}",{},0,,0,
4111010006,北京航空航天大学,北京市,北京市,,北京市,北京市,本科,11,10,"['985', '211', '双一流']",False,教育部2026名录（CSV镜像）,,47,https://www.buaa.edu.cn/,"学院路校区：北京市海淀区学院路37号,沙河校区：北京市昌平区高教园南三街9号",True,,,,,,,,,,,"{'rankingId': 'legacy-shanghairanking-bcur', 'edition': '2026', 'sortValue': 10.0, 'label': '2026软科主榜 11', 'sourceUrl': 'https://www.shanghairanking.cn/rankings/bcur/2026', 'legacy': True}",{},0,,0,
4111010007,北京理工大学,北京市,北京市,,北京市,北京市,本科,14,13,"['985', '211', '双一流']",False,教育部2026名录（CSV镜像）,,143,https://www.bit.edu.cn/,"中关村校区：北京市海淀区中关村南大街5号,良乡校区：北京市房山区良乡高教园区良乡东路,西山校区：北京市海淀区冷泉东路16号,怀来校区：河北省张家口市怀来县,珠海校区：广东省珠海市唐家湾金凤路6号",True,,,,,,,,,,,"{'rankingId': 'legacy-shanghairanking-bcur', 'edition': '2026', 'sortValue': 13.0, 'label': '2026软科主榜 14', 'sourceUrl': 'https://www.shanghairanking.cn/rankings/bcur/2026', 'legacy': True}",{},0,,0,
4111010008,北京科技大学,北京市,北京市,,北京市,北京市,本科,35,35,"['211', '双一流']",False,教育部2026名录（CSV镜像）,,144,https://www.ustb.edu.cn/,"海淀校区：北京市海淀区学院路30号,管庄校区：北京市朝阳区管庄北一里",True,,,,,,,,,,,"{'rankingId': 'legacy-shanghairanking-bcur', 'edition': '2026', 'sortValue': 35.0, 'label': '2026软科主榜 35', 'sourceUrl': 'https://www.shanghairanking.cn/rankings/bcur/2026', 'legacy': True}",{},0,,0,
4111010009,北方工业大学,北京市,北京市,,北京市,北京市,本科,239,336,[],False,教育部2026名录（CSV镜像）,,561,https://www.ncut.edu.cn/,北京市石景山区晋元庄路5号,True,,,,,,,,,,,"{'rankingId': 'legacy-shanghairanking-bcur', 'edition': '2026', 'sortValue': 336.0, 'label': '2026软科主榜 239', 'sourceUrl': 'https://www.shanghairanking.cn/rankings/bcur/2026', 'legacy': True}",{},0,,0,
4111010010,北京化工大学,北京市,北京市,,北京市,北京市,本科,57,64,"['211', '双一流']",False,教育部2026名录（CSV镜像）,,556,https://www.buct.edu.cn/,"朝阳校区：北京市朝阳区北三环东路15号,昌平校区：北京市昌平区南口镇南涧路29号,海淀校区：北京市海淀区紫竹院路98号",True,,,,,,,,,,,"{'rankingId': 'legacy-shanghairanking-bcur', 'edition': '2026', 'sortValue': 64.0, 'label': '2026软科主榜 57', 'sourceUrl': 'https://www.shanghairanking.cn/rankings/bcur/2026', 'legacy': True}",{},0,,0,
