高校代码,学校名称,省级地区,主体城市,办学层次,历史招生批次摘要,民办,985,211,双一流,当前状态,参与当前榜单,地图排序参考,软科最新,软科主榜参考,QS最新,THE最新,ARWU最新,校区记录数,县区证据数,可落最低法定边界,录取事实数,最新录取年份,财务事实数,最新财务年份,学校官网
4111010001,北京大学,北京市,北京市,本科,,否,是,是,是,现役候选,是,2026软科 2,2026 2,,2027 13,2026 13,2026 22,4,0,是,0,,0,,https://www.pku.edu.cn/
4111010002,中国人民大学,北京市,北京市,本科,,否,是,是,是,现役候选,是,2026软科主榜 17,2026软科主榜 17,,,,,5,0,是,0,,0,,https://www.ruc.edu.cn
4111010003,清华大学,北京市,北京市,本科,,否,是,是,是,现役候选,是,2026软科 1,2026 1,,2027 14,2026 12,2026 18,2,0,是,0,,0,,https://www.tsinghua.edu.cn
4111010004,北京交通大学,北京市,北京市,本科,,否,否,是,是,现役候选,是,2026软科主榜 41,2026软科主榜 41,,,,,3,0,是,0,,0,,https://www.bjtu.edu.cn/
4111010005,北京工业大学,北京市,北京市,本科,,否,否,是,是,现役候选,是,2026软科主榜 65,2026软科主榜 65,,,,,8,0,是,0,,0,,https://www.bjut.edu.cn/
4111010006,北京航空航天大学,北京市,北京市,本科,,否,是,是,是,现役候选,是,2026软科主榜 11,2026软科主榜 11,,,,,2,0,是,0,,0,,https://www.buaa.edu.cn/
4111010007,北京理工大学,北京市,北京市,本科,,否,是,是,是,现役候选,是,2026软科主榜 14,2026软科主榜 14,,,,,6,1,是,0,,0,,https://www.bit.edu.cn/
4111010008,北京科技大学,北京市,北京市,本科,,否,否,是,是,现役候选,是,2026软科主榜 35,2026软科主榜 35,,,,,2,0,是,0,,0,,https://www.ustb.edu.cn/
4111010009,北方工业大学,北京市,北京市,本科,,否,否,否,否,现役候选,是,2026软科主榜 239,2026软科主榜 239,,,,,1,0,是,0,,0,,https://www.ncut.edu.cn/
4111010010,北京化工大学,北京市,北京市,本科,,否,否,是,是,现役候选,是,2026软科主榜 57,2026软科主榜 57,,,,,3,0,是,0,,0,,https://www.buct.edu.cn/
